Sl. No.,District,Category,Name of Work,Length (km),Cost (Rs. Crore)
21,The Nilgiris,State PWD,"Improvements to existing Paver block carriageway at Km 429/2 - 430/8 and Km 433/2 (Selected Stretches) and Providing safety measures at vulnerable location of Km 397/2, 397/4, 398/4, 398/6, 399/4, 399/6, 399/10, 400/2, 400/4 and 400/10 including of CD works and Protective works and Improvemets to Charring Cross Junction at Km 430/8 - 431/4 of NH 67 (New NH 181)",3.45,42.22
22,Tiruppur,State PWD,"Widening from two lane with paved Shoulder to four lane with paved shoulder and improvements from Km 26/5 - 34/2, km 35/6 - 40/2, km 42/2 - 53/2,km 55/8 - 56/2,km 58/7 - 61/2,km 76/6 - 81/3 and widening from two lane with paved shoulder to four lane with paved shoulder from Km 40/2-42/2, Km 53/2-55/8,Km 61/2-66/7,Km 67/2-72/4 and improvements from km 34/2 - 35/6 including CD works of NH 81 (Coimbatore - Chidambaram)(Old NH-67) (Nagapattinam-Trichy-Coimbatore-Gudalur)",47.6,274.8
23,Tirunelveli,State PWD,Construction of ROB and their approaches at Km 99/4(LC Gate No.503/Spl-A-3/E) of NH 744 (Old NH 208) Kollam-Thirumangalam Road on Engineering Procurement and Construction (EPC) mode in the State of Tamil Nadu -Under Annual Plan 2022-23(Job No. NH-744(Old NH 208)-TN-2022-23-1026),1.23,53.02
24,Dindigul,State PWD,"Four laning of Ottanchatram to Palani section from Km 30/700 to Km 55/000 of NH 209 (New NH-83) including footpath for pedestrian and way side amenities except from Km 37/870 to 38/130,Km 39/2 to Km 41/0, from Km 43/4 to Km 44/100, From Km 47/4 to Km 51/0 and from Km 52/2 to 52/965 on EPC Mode under Annual Plan 2022-23 in the state of Tamil Nadu",17.17,172.2
25,Coimbatore,State PWD,"Widening the leftout existing 2L to 2L+PS, Strengthening the selected stretches from Km 9/6 - 15/6 of NH-381A (Vellakovil to Sankari Road) on EPC mode in Tamil Nadu.",5,16.84
26,Villupuram,State PWD,Strengthening from Km 110/2-142/0 of NH 38 (Km 170/4-202/6 of NH 234) (length 31.8km) (Mangalore - Villupuram Road) on EPC mode in Tamil Nadu,31.8,42.52
27,Coimbatore and Tirupur,State PWD,Strengthening selected stretches from Km 1/2 to Km 23/6(9.50Km) of NH-81 and Strengthening selected stretches from Km 6/0 to Km 23/0(1.8Km) of NH-181 including Junction improvement at Km 6/0 -Km 6/4 of NH-181 on EPC in Tamil Nadu,11.3,47.57
28,Salem and Namakkal,State PWD,Strengthening the selected stretches from Km.58/700 to 68/900 of NH-381A (Vellakovil - Sankari road) on EPC mode in the State of Tamil Nadu,9.6,19.01
29,Coimbatore,State PWD,Providing Speed calming measures in Kallar Elephant Corridor from Km 56/000-58/400 of NH-181 (Coimbatore - Ooty - Gundalpet Road) under AP-2024-25 in the state of Tamil Nadu,2.4,0.68
Sub Total (State PWD),Sub Total (State PWD),Sub Total (State PWD),Sub Total (State PWD),260.52,2603.05
1,Chennai,NHAI,New Double Tier 4-lane Elevated Corridor from Chennai Port to Maduravoyal in Chennai District from on EPC mode in the State of Tamil Nadu (P-1),4.95,1388.59
2,Chennai,NHAI,New Double Tier 4-lane Elevated Corridor from Chennai Port to Maduravoyal in Chennai District from on EPC mode in the State of Tamil Nadu (P-2),5.1,1616.97
3,Chennai,NHAI,New Double Tier 4-lane Elevated Corridor from Chennai Port to Maduravoyal in Chennai District from on EPC mode in the State of Tamil Nadu (P-3),4.49,1299.36
4,Chennai,NHAI,New Double Tier 4-lane Elevated Corridor from Chennai Port to Maduravoyal in Chennai District from on EPC mode in the State of Tamil Nadu (P-4),6.41,1205.4
5,Tiruvallur,NHAI,"Balance works of four Lane from km 43+950 (Thiruvallur Bypass) to km 61+470 (Veppampattu Bypass) passing through Thannerkulam, Thozur and Sevapet Bypass (17+520 Kms) of Tirupati-Tiruttani-Chennai Section of NH 205",17.52,467.99
6,Chittoor,NHAI,Completion of Balance works pending in bit and pieces (incomplete stretch at 7 locations) and listed balance works from km. 274+800 - 338+030 in AP portion and other listed balance works from km. 0.000 to km. 43.950 in TN portion of 4/2 laning of Tirupathi - Tiruttani - Chennai section of NH-205,7.35,166.52
7,Tiruvallur,NHAI,Access Controlled Highway of 4-Lane with Paved Shoulders from Tiruvallur (Design Chainage Km 17+56) to TN/AP Broder (Design Chainage Km 61+51) of NH-716 (Chennai-Tirupati Package-1),43.95,1376.1
8,Chittoor and Tirupati,NHAI,Access Controlled Highway of 4-Lane with Paved Shoulders from TN/AP Border (Design Chainage Km 61+51) to Puttur (Design Chainage Km 81+540) of NH-716 and 6 Lane with Paved Shoulders from Mallavaram to Renigunta (Chennai-Tirupati Package-2),37.43,1346.82
9,Chengalpattu,NHAI,4-laning of Mamallapruam - Mugaiyur section of NH-332A (PKG-1 of Mahabalipuram - Pondicherry),31,1360.54
10,Chengalpattu and Villupuram,NHAI,4-laning of Mugaiyur to Marakkanam section of NH-332A from Km 31+000 - Km 62+000,31,1116.13
11,Kancheepuram,NHAI,Balance Works for six laning of Sriperumbudur to karaipettai section of NH-4 (New NH-48) from 37+000 (Existing Km 37+000) to Km 71+015,16.82,403.05
12,Kancheepuram and Ranipet,NHAI,6-Laning of Karaipettai - Walajahpet section of NH-4,36.08,766.51
13,"Chittoor, Vellore and Ranipet",NHAI,Construction of 4-lane Bangalore Chennai Expressway Phase-III - Package I (Gudipala to Walajahpet) from Km 156+000 - Km 180+000,24,1438.62
14,Ranipet,NHAI,Construction of 4-lane Bangalore Chennai Expressway Phase-III - Package II (Walajahpet to Arakkonam) from Km 180+000 - Km 204+500,24.5,1077.4
15,Kancheepuram and Ranipet,NHAI,Construction of 4-lane Bangalore Chennai Expressway Phase-III - Package III (Arakkonam to Kancheepuram) from Km 204+500 - Km 230+000,25.5,1525.1
16,Kancheepuram and Tiruvallur,NHAI,Construction of 4-lane Bangalore-Chennai Expressway from Km. 230+000 - Km. 261+705 of Kanchepuram to Sriperumbudur Section (Phase-III/Package-IV),31.71,3605.73
17,Kancheepuram,NHAI,Construction of Trumpet Interchange connecting Bangalore-Chennai Expressway (Km 261+705 - Km 262+800) with Maduravoyal to Walajahpet section of NH-48 near Sriperumbudur Toll Plaza at km. 35+700,1.1,157.63
