SH. No.,Name of the Road,Starting KM.,Ending KM,Total Length KM.
SH-26,Tiruchirapalli - Pudukottai - Aranthangi - Memisal Byepass Road  (SH 26),50.735,84.145,33.410
SH-26,Tiruchirapalli - Pudukottai - Aranthangi - Memisal Byepass Road  (SH 26),84.835,119.920,35.085
SH-27,Perambalur- Manamadurai Road  (SH 27),64.850,71.200,6.350
SH-27,Perambalur- Manamadurai Road  (SH 27),72.200,77.200,5.000
SH-29,Thanjavur - Pattukottai- Aranthangi+ Karaikudi- Kallal- Kalayrkoil-Maravamangalam - Illayankudi- Paramakudi-Muthukulathur-Sayalkudi Road (SH29),0.000,69.200,69.200
SH-29,Thanjavur - Pattukottai- Aranthangi+ Karaikudi- Kallal- Kalayrkoil-Maravamangalam - Illayankudi- Paramakudi-Muthukulathur-Sayalkudi Road (SH29),69.200,115.110,45.910
SH-29,Thanjavur - Pattukottai- Aranthangi+ Karaikudi- Kallal- Kalayrkoil-Maravamangalam - Illayankudi- Paramakudi-Muthukulathur-Sayalkudi Road (SH29),115.110,123.771,8.661
SH-29,Thanjavur - Pattukottai- Aranthangi+ Karaikudi- Kallal- Kalayrkoil-Maravamangalam - Illayankudi- Paramakudi-Muthukulathur-Sayalkudi Road (SH29),130.771,164.356,33.585
SH-29,Thanjavur - Pattukottai- Aranthangi+ Karaikudi- Kallal- Kalayrkoil-Maravamangalam - Illayankudi- Paramakudi-Muthukulathur-Sayalkudi Road (SH29),198.550,248.224,49.674
SH-30,Musiri-Thuraiyur-Attur Road (SH-30),0.000,91.200,91.200
SH-32,Madurai-Tuticorin road (SH 32),0.000,11.000,11.000
SH-32,Madurai-Tuticorin road (SH 32),90.800,92.600,1.800
SH-32,Madurai-Tuticorin road (SH 32),126.400,133.200,6.800
SH-33,Madurai-Thondi road (SH 33),0.000,19.200,19.200
SH-34,Ramanathapuram-Nainarkoil-Andakudi-Elayankudi-Sivagangai-Melur road (SH 34),0.000,30.200,30.200
SH-34,Ramanathapuram-Nainarkoil-Andakudi-Elayankudi-Sivagangai-Melur road (SH 34),30.200,41.800,11.600
SH-34,Ramanathapuram-Nainarkoil-Andakudi-Elayankudi-Sivagangai-Melur road (SH 34),43.800,74.072,30.272
SH-34,Ramanathapuram-Nainarkoil-Andakudi-Elayankudi-Sivagangai-Melur road (SH 34),90.800,103.000,12.200
SH-34A,Upoor - Kottaiyur road (SH 34A),0.000,36.800,36.800
SH-35,Dindigul-Natham-Singampunari-Thiruppathur-Karaikudi road (SH 35),0.000,51.600,51.600
SH-35,Dindigul-Natham-Singampunari-Thiruppathur-Karaikudi road (SH 35),53.000,81.800,28.800
SH-35,Dindigul-Natham-Singampunari-Thiruppathur-Karaikudi road (SH 35),82.800,97.200,14.400
SH-35,Dindigul-Natham-Singampunari-Thiruppathur-Karaikudi road (SH 35),101.800,102.400,0.600
SH-37,Mettur-Palakkanathu-Ottanchatram-Dharapuram-Tirupur Road  (SH-37),0.000,32.000,32.000
SH-37,Mettur-Palakkanathu-Ottanchatram-Dharapuram-Tirupur Road  (SH-37),37.400,108.400,71.000
SH-38,Aruppukottai - perunali -Sayalkudi - Kadugusandai - Mariyur - Valinokkam Road (SH-38),0.000,52.400,52.400
SH-38,Aruppukottai - perunali -Sayalkudi - Kadugusandai - Mariyur - Valinokkam Road (SH-38),58.200,79.260,21.060
SH-39,Tirunelveli - Shencottai - Kollam Road (SH 39),0.000,2.000,2.000
SH-39,Tirunelveli - Shencottai - Kollam Road (SH 39),2.865,31.000,28.135
SH-39,Tirunelveli - Shencottai - Kollam Road (SH 39),31.000,57.000,26.000
SH-39A,Shencottoai-Pavoorchatram road (via) Surandai  (SH-39A),0.000,31.200,31.200
SH-39B,Athiyuthu-Sendamaram Road (via) Surandai   (SH-39B),0.000,22.870,22.870
SH-40,Tiruchendur - Palayamkottai - Ambasamudram - Tenkasi - Courtallam - Shencottai Road    (SH 40),0.000,134.200,134.200
SH-40A,Kadayam - Mukkudal Road (SH 40A),0.000,28.000,28.000
SH-40B,Ambasamudram - Alangulam Road (SH 40B),0.000,20.400,20.400
SH-41,Rajapalayam - Sankarankovil - Tirunelveli Road   (SH-41),0.000,60.250,60.250
SH-41A,Tirunelveli - Pottalpudur Road   (SH 41A),0.000,36.600,36.600
SH-42,Srivilliputhur - Sivakachi - Virudhunagar - Aruppukottai - Tiruchuli - Narikudi - Parthibanur - Road (SH-42),0.000,109.260,109.260
SH-43,Tenkasi - Panpozhi-Thirumalaikovil road (SH-43),0.000,14.000,14.000
SH-44,Paruvakudi - Kovilpatti - Ettayapuram - Vilathikulam - Vembar Road   (SH-44),0.000,91.800,91.800
SH-45,Aralvoimozhi - Nedumangadu Road (SH 45),0.000,48.900,48.900
SH-46,Aralvoimozhi - Nagercoil - Rajakkamangalam - Colachel Road  (SH 46),18.800,28.200,9.400
SH-47,Parthibanur - Kamuthi - Aruppukottai road (SH-47),0.000,41.650,41.650
SH-48,Marmalong bridge -  Irumbuliyur - Vandalur- Mudichur- Oragadam- Walajabad Road (SH-48),5.000,21.200,16.200
SH-48,Marmalong bridge -  Irumbuliyur - Vandalur- Mudichur- Oragadam- Walajabad Road (SH-48),30.400,63.800,33.400
SH-48,Marmalong bridge -  Irumbuliyur - Vandalur- Mudichur- Oragadam- Walajabad Road (SH-48),111.800,113.000,1.200
SH-48A,Mount Medavakkam Road (SH -48A),0.000,9.100,9.100
SH-48B,Taramani Link Road (SH -48B),0.000,3.630,3.630
SH-48C, Velachery byepass Road (SH -48C) ,0.000,1.900,1.900
SH-49,Thiruvanmiyur-Magabalipuram-Marakkanam-Pondicherry Road   East Coast Road ) (SH-49),11.800,31.000,19.200
SH-49,Thiruvanmiyur-Magabalipuram-Marakkanam-Pondicherry Road   East Coast Road ) (SH-49),19.200,100.200,81.000
SH-49,Thiruvanmiyur-Magabalipuram-Marakkanam-Pondicherry Road   East Coast Road ) (SH-49),100.800,134.800,34.000
SH-49A,Chennai Mahapulipuram (via) Thiruporur road (Rajiv Gandhi Road) (SH-49A),13.300,55.600,42.300
SH-49A,Chennai Mahapulipuram (via) Thiruporur road (Rajiv Gandhi Road) (SH-49A),57.000,58.400,1.400
SH-49B,Medvakkam Sholinganallur - Kudimiyandi Thoppu Road (SH -49B),0.000,6.700,6.700
SH-49B,Medvakkam Sholinganallur - Kudimiyandi Thoppu Road (SH -49B),0.000,13.200,13.200
SH-50,Thirumazhisai-Uthukottai road (SH 50),0.000,46.000,46.000
SH-50A,Korattur - Thinnanur - Periyapalayam Road (SH 50A),0.000,28.730,28.730
SH-50B,Thandalam-Perambakkam-Thakkolam-Arugilpadi road  (S.H.50B)     ,0.000,39.400,39.400
SH-51,Korthaliyar Bridge Puthur Road  (SH 51),0.000,32.290,32.290
SH-52,Kavarapettai - Sathiyavedu Road  (SH 52) ,0.000,20.082,20.082
SH-53,Nagari  - Pallipet Road  (SH 53),0.000,12.400,12.400
SH-54,Chittoor- Tiruttani Road (SH 54),5.800,48.935,43.135
SH-54,Chittoor Thiruthani Road (SH54),0.000,5.800,5.800
SH-55,Mount- Poonamallee- Avadi Road  (SH 55),0.000,10.800,10.800
SH-55,Mount- Poonamallee- Avadi Road  (SH 55),11.400,20.800,9.400
SH-56,Thiruvottriyur - Ponneri - Panchetty Road (SH 56),0.000,27.800,27.800
SH-57,Singaperumalkoil-Sriperumbudur-Thiruvallur-Red Hills road  (SH 57),0.000,24.600,24.600
SH-57,Singaperumalkoil-Sriperumbudur-Thiruvallur-Red Hills road  (SH 57),25.925,40.325,14.400
SH-57,Singaperumalkoil-Sriperumbudur-Thiruvallur-Red Hills road  (SH 57),40.400,77.400,37.000
SH-58,Sadras -  Chengalpattu - Kanchipurm - Arakkonam - Tiruthani Road(SH 58),0.000,27.200,27.200
SH-58,Sadras -  Chengalpattu - Kanchipurm - Arakkonam - Tiruthani Road(SH 58),28.800,107.450,78.650
SH-58A,Kancheepuram-Surappan Road (SH58A),66.800,72.200,5.400
SH-59,Thiruvalam Katpadi Venkatagiri Kottah Road (SH59),0.000,13.400,13.400
SH-60,Hogenakkal - Pennagaram - Dharmapuri - Tirupattur Road (SH-60),0.000,90.800,90.800
SH-60,Hogenakkal - Pennagaram - Dharmapuri - Tirupattur Road (SH-60),90.750,108.200,17.450
SH-60A,Dharmapuri - Harur road (Via) Morappur road (SH-60A),0.000,37.600,37.600
SH-61,Walajah Sholinghur Arakkonam Road (SH61),0.000,51.100,51.100
SH-61A,Ranipet Sholinghur Road (SH61A),0.000,10.600,10.600
SH-62,Tiruchirapalli - Thuraiyur road  (SH 62),0.000,32.125,32.125
SH-63,Thanjavur - Mannargudy - Thirurhuraipoondi - Vedaraniyam - Kodiyakkari road.(SH 63 ),0.000,106.800,106.800
SH-64,Kumbakonam - Sirkali road. (SH 64),0.000,53.350,53.350
SH-65,Thiruvarur - Kudavasal - Kumbakonam road. (SH 65 ),0.000,37.200,37.200
SH-66,Kumbakonam - Mannargudy - Adirampattinam road.  ( SH 66 ),0.000,75.200,75.200
SH-67,Nagoor- Nannilam- Nachiyarkovil Road (SH 67),0.000,46.950,46.950
SH-68,Cuddalore - Thirukoilur - Sankarapuram Road (SH - 68),0.000,23.188,23.188
SH-68,Cuddalore - Thirukoilur - Sankarapuram Road (SH - 68),25.381,64.597,39.216
SH-68,Cuddalore - Thirukoilur - Sankarapuram Road (SH - 68),69.547,102.052,32.505
SH-69,Virudhachalam-Ulundurpet-Villupuram road (SH-69),0.000,50.400,50.400
SH-69,Virudhachalam-Ulundurpet-Villupuram road (SH-69),50.600,59.800,9.200
SH-70,Vridhachalam-Portonovo road (SH-70),0.000,36.800,36.800
SH-70,Vridhachalam-Portonovo road (SH-70),45.000,50.800,5.800
SH-71,Musiri - Kulithalai - Pudukottai -Alangudy  Paeravorani - Sethubavachathiram Road  (SH 71),0.000,39.050,39.050
SH-71,Musiri - Kulithalai - Pudukottai -Alangudy  Paeravorani - Sethubavachathiram Road  (SH 71),40.340,55.800,15.460
SH-71,Musiri - Kulithalai - Pudukottai -Alangudy  Paeravorani - Sethubavachathiram Road  (SH 71),55.850,97.590,41.740
SH-71,Musiri - Kulithalai - Pudukottai -Alangudy  Paeravorani - Sethubavachathiram Road  (SH 71),101.960,156.400,54.440
SH-71A,Manapparai - Thuvarankurichy Road  (SH 71A),0.000,28.000,28.000
SH-72,Madurai-Natham road (SH 72),0.000,20.200,20.200
SH-72,Madurai-Natham road (SH 72),20.000,38.485,18.485
SH-72A,Madurai-Alagarkoil-Melur road (SH 72A),0.000,33.335,33.335
SH-72B,Avaniapuram Byepass road (SH 72B),0.000,2.400,2.400
SH-73,Thirumangalam-Pallapatti-Silukkuvarpatti road (SH 73),0.000,34.000,34.000
SH-73,Thirumangalam-Pallapatti-Silukkuvarpatti road (SH 73),34.000,42.130,8.130
SH-73A,Thirumangalam-Usilampatti road  (SH 73A),0.000,26.000,26.000
SH-73A,Thirumangalam-Usilampatti road  (SH 73A),0.000,18.590,18.590
SH-74,Dindugal - Gujiliamparai - Karur Road (SH 74),0.000,70.250,70.250
SH-75,Palayamkottai - Kurukkusalai - Kulathur - Vilathikulam - Nagalapuram - Pandalkudi - Aruppukkottai Road (SH 75),0.000,63.600,63.600
SH-75,Palayamkottai - Kurukkusalai - Kulathur - Vilathikulam - Nagalapuram - Pandalkudi - Aruppukkottai Road (SH 75),64.400,107.780,43.380
SH-75A,Tirunelveli Bye Pass Road (SH 75 A),0.000,7.600,7.600
SH-76,Puliangudi - Sankarankovil - Kalugumalai - Nalatinpudur Road (SH-76),0.000,49.815,49.815
SH-78,Pollachi - Valparai Road (SH 78),0.000,64.000,64.000
SH-78A,Pollachi - Palaghat Road.( SH -78 A),0.000,15.800,15.800
SH-79,Mallikkarai-Rasipuram-Thiruchengode-Erode Road (SH79),0.000,98.860,98.860
SH-79A,Sankari - Pallipalayam road (SH 79 A),4.200,15.700,11.500
SH-79A,Sankari-Pallipalayam Road(SH79A),0.000,4.200,4.200
SH-80,Avinashi-Mettupalayam Road  (SH 80),0.000,38.200,38.200
SH-81,Gobi-Uthukuli-Padiyur road (SH 81)  ,0.000,16.800,16.800
SH-81,Gobi-Uthukuli-Padiyur road (SH 81)  ,16.800,46.600,29.800
SH-81,Gobi-Uthukuli-Padiyur road (SH 81)  ,0.000,0.680,0.680
SH-82,Sathy-Athani-Bhavani road (No.82)  Km 0/0-28/8,0.000,52.800,52.800
SH-83,Palani - Dharapuram road  (SH-83),0.000,30.890,30.890
SH-83A,Erode-Dharapuram Road (SH-83A),0.000,74.650,74.650
SH-83A,Erode-Dharapuram Road (SH-83A),77.050,80.200,3.150
SH-84,Erode - Karur road (SH .84),0.000,61.192,61.192
SH-84A,"Erode - Mulanur  road (via) Muthur, Vellakovil. (SH - 84A)",0.000,61.600,61.600
SH-85,Rayakottai - Athipalli road (SH-85),0.000,39.800,39.800
SH-86,Omalur - Sankari - Tiruchengode -Paramathi road (SH. 86),0.000,81.000,81.000
SH-86A,Thiruchengode-Ariyanur Road (SH86A),0.000,32.800,32.800
SH-87,Udumalpet - Palladam Road (SH-87),0.000,45.200,45.200
SH-88,Chittoor Gudiyattam Road (SH 88),0.000,20.200,20.200
SH-89,Nanguneri - Bharathar Ovari Road (SH 89),0.000,36.034,36.034
SH-90,Marthandam - Pechiparai Road (SH 90),0.000,20.700,20.700
SH-91,Paraseri - Monday Market - Puthukadai Road (SH 91),0.000,15.800,15.800
SH-91,Paraseri - Monday Market - Puthukadai Road (SH 91),17.200,25.700,8.500
SH-92,Nanguneri - Eruvadi - Vallioor - Vijayapathy Road (SH 92),0.000,41.660,41.660
SH-93,Alwarthirunagari - Nazareth - Sathankulam - Ittamozhi - Vallioor Road (SH 93),0.000,60.240,60.240
SH-94,Tiruchengode - Namakkal road (SH. 94),0.000,30.880,30.880
SH-95,Mohanur - Namakkal - Sendamangalam-Rasipuram road (SH. 95 ),0.000,18.800,18.800
SH-95,Mohanur - Namakkal - Sendamangalam-Rasipuram road (SH. 95 ),19.285,84.000,64.715
SH-96,Erode - Perunthurai - Kangayam  road  (SH-96),0.000,18.837,18.837
SH-96,Erode - Perunthurai - Kangayam  road  (SH-96),19.164,51.560,32.396
SH-97,Udumalpet -  Dharapuram  road  (SH - 97),0.000,36.348,36.348
SH-98,Gudalur Sulthanbathery road (SH 98),0.000,27.400,27.400
SH-99,Thurukattupalli - Sengipatti- pattukottai Road  ( SH 99 ),0.000,15.550,15.550
SH-99,Thurukattupalli - Sengipatti- pattukottai Road  ( SH 99 ),17.200,35.200,18.000
SH-99,Thurukattupalli - Sengipatti- pattukottai Road  ( SH 99 ),35.400,51.200,15.800
SH-99,Thurukattupalli - Sengipatti- pattukottai Road  ( SH 99 ),51.231,71.400,20.169
SH-99A,Thanjavur - Vallam Road (SH 99A),0.000,10.600,10.600
SH-100,Palayam - Bodi Road (SH-100),0.000,31.800,31.800
SH-101,Devathanapatty- Varusanadu Road (SH-101),0.000,58.000,58.000
SH-102,Uthamapalayam - Surulipatty Road (SH-102),0.000,20.000,20.000
SH-104,Chennai - Pulicut Road   (SH 104),0.000,26.200,26.200
SH-106,Thiruttani Podhattur pet  Pallipet Road  (SH 106),0.000,27.082,27.082
SH-108,R.K.Pettai - Pallipet Road (SH 108),0.000,19.600,19.600
SH-109,Pallavaram-Thoraipakkam Road (SH-109),0.000,10.620,10.620
SH-110,Tambaram Mudichur Sriperumbudur Road  (SH-110),0.000,23.500,23.500
SH-110A,Medavakkam Mambakkam Sembakkam Road (SH -110A),0.000,26.800,26.800
SH-111,Madhavaram- Red Hills Road  (SH 111),0.000,9.600,9.600
SH-112,Thirumangalam - Mogappair Road       (SH 112),0.000,2.325,2.325
SH-113,Kodambakkam-Sriperumbudur Road  (SH 113),0.000,28.800,28.800
SH-113A, Poonamallee - Kundrathur - Pallavaram Road (SH-113A) ,0.000,12.000,12.000
