SH. No.,Name of the Road,Starting KM.,Ending KM,Total Length KM.
SH-178,Ambasamudram - Papanasam - Upper Dam Road (SH 178),0.000,23.000,23.000
SH-178,Rajapalayam - Sankarankovil - Tirunelveli Road    (SH 41),60.250,85.730,25.480
SH-179,Kanniyakumari - Pazhayauchakadai Road (SH 179),0.000,71.522,71.522
SH-180,Colachel - Thiruvattar Road (SH 180),0.000,23.900,23.900
SH-181,Marthandam - Panachamoodu Road  (SH 181),0.000,14.100,14.100
SH-182,Watrap - Maharajapuram - Alagapuri - Virudhunagar road (SH 182),0.000,37.400,37.400
SH-183,Sivakasi - Alangulam road (SH 183),0.000,15.050,15.050
SH-184,Virudhunagar - Krishnapuram road (SH 184),0.000,23.230,23.230
SH-186,Rajapalayam - Vembakottai road (SH 186),0.000,29.600,29.600
SH-187,Sattur - sivakasi - Kalugumalai road  (SH 187),0.000,38.400,38.400
SH-188,Salem Junction to Yercaud Road (SH-188),0.000,30.600,30.600
SH-189,Kangayam - Kodumudi road  (SH-189),0.000,9.200,9.200
SH-189,Kangayam - Kodumudi  road (SH - 189),9.200,26.000,16.800
SH-189,Kangayam - Kodumudi road (SH 189),26.000,36.200,10.200
SH-190,"Karumandampalayam - Salaipudur road (via) Malayampalayam, Thamaraipalayam (SH 190)",0.000,17.450,17.450
SH-191,Melur-Thiruppathur road (SH 191),0.000,31.600,31.600
SH-191A,Kummangudi Bridge to Koviloor Road(Via) Pillaiyarpatti (No.191A) km.0/0-13/975,0.000,13.975,13.975
SH-192,Thalaiyuthu - Kallimandayam - Edayakottai road (SH-192),0.000,55.400,55.400
SH-193,Thadikombu - Pallapatty - Aravakurichy Road (SH 193),0.000,46.800,46.800
SH-194,Nagercoil - Thuvarankadu road (SH 194),0.000,8.900,8.900
SH-195,Madurai-Viradhanur-Valayankulam road (SH 195),0.000,22.600,22.600
SH-196,Tirupur-Perumanallur-Kunnathur-Perunthurai Road (SH-196),0.000,40.800,40.800
SH-197,Vellakovil - Mulanur   road (via) Akkaraipalayam  (SH -197),0.000,24.600,24.600
SH-198,Komarapalayam - Pallipalayam - Jedarpalayam - Pandamangalam - Velur road (SH-198),0.000,66.500,66.500
SH-199,Vaiyampatty - Karur Road  (Via)Mylampatty  Uppidamangalam  (SH 199),0.000,53.640,53.640
SH-200,Nagoore- Nagapattinam-Ramanathapuram-Tuticorin Road ( SH 200 ),8.000,115.800,107.800
SH-200,Nagoore- Nagapattinam-Ramanathapuram-Tuticorin Road ( SH 200 ),115.770,204.370,88.600
SH-200,Nagoore- Nagapattinam-Ramanathapuram-Tuticorin Road ( SH 200 ),213.970,289.170,75.200
SH-200,Nagoore- Nagapattinam-Ramanathapuram-Tuticorin Road ( SH 200 ),289.200,338.062,48.862
SH-201,Namanasamudram- Ponnamaravathy Road (SH 201 ),9.400,42.700,33.300
SH-202, Tiruvarur - Mannargudi - Muthupet road  -(SH202),0.000,60.000,60.000
SH-203,Mundiyampakkam-Pondicherry road (SH -203 ),0.000,21.250,21.250
SH-204,Kallakurichi - Koothakudi Road (SH - 204) ,0.000,24.800,24.800
SH-205,Vanagaram- Ambathur - Puzhal Road   (SH 205),0.000,14.600,14.600
SH-206,Poonamallee- Pattabiram  Road (SH 206),0.000,11.600,11.600
SH-207,Vellore Ussoor Road (SH207),0.000,8.000,8.000
SH-208,Hosur inner Ring Road (SH-208),0.000,8.850,8.850
SH-210,Thiruchirapalli - Ramanathapuram Road (Abandoned NH 210 Stretches) URBAN Stretches in Pudukottai ,6.600,7.615,1.015
SH-210,Thiruchirapalli - Ramanathapuram Road (Abandoned NH 210 Stretches) URBAN Stretches in Pudukottai ,24.200,28.600,4.400
SH-210,Thiruchirapalli - Ramanathapuram Road (Abandoned NH 210 Stretches) URBAN Stretches in Pudukottai ,44.700,58.950,14.250
SH-210,Thiruchirapalli - Ramanathapuram Road (Abandoned NH 210 Stretches) URBAN Stretches in Pudukottai ,67.200,70.100,2.900
SH-211,Tirukoilur Bye Pass Road (SH - 211),0.004,4.395,4.391
SH-213,Vridhachalam byepass road  (SH-213),0.000,9.153,9.153
SH-214,Chidanbaram bye pass link road (SH-214),0.000,1.904,1.904
SH-215,Polur - Jamunamarathur - Alangayam - Vaniyambadi Road SH -215,0.000,81.600,81.600
SH-216,Sozhathiram-Srimushnam road (SH-216),0.000,20.000,20.000
SH-217,Ariyalur - Jayankondam Road (Via) Sendurai  (SH - 217),0.000,44.000,44.000
SH-218,Omalur  Main road in Salem (SH218),0.000,3.600,3.600
SH-219,Jagir Ammapalayam  - Tharamangalam road (SH219),0.000,18.500,18.500
SH-219A,Tharamangalam-Jalagandapuram Road (SH- 219 A),0.000,10.000,10.000
SH-220,Sankari - Mecheri Road (via) Edappady (SH-220),0.000,44.610,44.610
SH-220A,Edappady-Poolampatty-Mettur  Road (SH-220 A),0.000,25.935,25.935
SH-220B,Edapady - Nedungulam-Koneripatti- Anandampalayam Road (via) Barriage-III (SH- 220 B),0.000,14.770,14.770
SH-221,Magudanchavadi - Kumarapalayam road (via) Edappadi (SH 221),0.000,43.400,43.400
SH-222,Omalur - Mecheri - Pennagaram (Via) Perumbalai road (SH-222),0.000,58.080,58.080
SH-223,Tharamangalam - Nangavalli- Kunjandiyur Road (SH-223),0.000,19.600,19.600
SH-224,Palacode - Nagadasampatti road (SH-224),0.000,21.000,21.000
SH-225,Krishnagiri - Rayakottai road (SH 225),0.000,30.800,30.800
SH-226,Krishnagiri - Berigai road (SH-226),0.000,46.600,46.600
SH-227,Theni - Chinnamanur Road (via) Venkatachalapuram(SH-227),0.000,28.820,28.820
SH-228,Koduvilarpatty - Seelyampatty road (via) S.Alagapuri (SH-228),0.000,23.255,23.255
SH-229,Uthamapalayam - Bodenthirapuram road. (SH-229),0.000,24.400,24.400
SH-230,Vellore Old Bye-pass Road (SH-230),0.000,1.200,1.200
SH-231,Pondy Krishnagiri road to Hill Round road SH231,0.000,5.200,5.200
SH-233,Sitra -  Kurumbapalayam Road  (SH 233),0.000,8.610,8.610
